Obs_No,AR #,Obs_Year,Year Live,DaysSinceLive,Reported Number of Employees,EE Year Count,ARR Year Growth,ARR Start,ARR_EndOfYear,BumpOut75K,growth_percent,Product 1,Product 2 ,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16,Product 17,Product 18,Total Product Count,Industry: Agriculture and Natural Resources,Industry: Construction,Industry: Education,Industry: Finance and Insurance,Industry: Healthcare,Industry: Manufacturing,"Industry: Non-Profits, Membership and Human Services",Industry: Public Sector,Industry: Real Estate,Industry: Restaurants and Hospitality,Industry: Retail,Industry: Sports &Entertainment,"Industry: Technology, Professional, and Business Services",Industry: Transportation and Warehousing ,Industry: Utilities and Mining ,Industry: Wholesale Trade,Category_Account Health,RefNo_Cumulative,Connections Attendance,Training Hours,Training Students,Percent of Book,ACT Score,BI Score,Ave P_Score,Model 
1,ABE1000,0,2011,1823,222,217,4753,66054,70807,0,0.071956278,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.172813153,103.600918,8.841379,118.1660339,1
2,ABE1000,1,2011,2188,222,218,5866,70807,76673,1,0.082844916,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.099129238,103.108676,3.775498,73.55331243,1
3,ABI1002,1,2016,240,648,381,39173,73369,112542,1,0.533917595,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.492619458,52.468248,1.425152,17.78764229,1
4,ACC1004,0,2010,2261,220,220,3192,31944,35136,0,0.099924869,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,36,4,1.714876033,9.036163,15.12839,9.036163,1
5,ACC1004,1,2010,2626,220,220,3504,35136,38640,0,0.099726776,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,36,4,1.559084699,30.368201,15.12839,30.368201,1
6,ACC1008,0,2013,1187,617,282,40815,69464,110279,1,0.58757054,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1.400588048,49.137141,41.373737,49.35619663,1
7,ACD1000,0,2010,2186,170,211,3240,58110,61350,0,0.055756324,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,84,12,0.904130098,136.484741,5.778634,153.9525357,1
8,ACD1000,1,2010,2551,170,198,5970,61350,67320,0,0.097310513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,84,12,0.803618582,120.493525,2.156504,65.88279667,1
9,AEG1001,0,2010,2011,230,215,4557,56716,61273,0,0.080347697,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,149.5,28,1.034889502,94.8573,5.109422,135.6155408,1
10,AEG1001,1,2010,2376,230,214,13716,61273,74989,0,0.223850636,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,158.5,32,1.163020701,92.734952,7.176731,159.5571848,1
11,AER1000,0,2012,1424,393,195,1766,71724,73490,0,0.024622163,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.035845742,69.82639,10.996976,60.735466,1
12,AER1000,1,2012,1789,393,44,3675,73490,77165,1,0.050006804,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.228111427,30.368201,3.830904,13.47743175,1
13,AIR1001,0,2006,3829,438,380,9643,73800,83443,1,0.130663957,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0.988617886,98.581635,28.527504,63.5545695,1
14,AJA1000,0,2012,1641,268,264,3528,63316,66844,0,0.055720513,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,78.5,19,1.693680444,130.874364,4.349194,145.8643168,1
15,AJA1000,1,2012,2006,268,265,4231,66844,71075,0,0.063296631,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,81.5,20,1.610359511,122.102167,5.278025,114.894198,1
16,ALA1004,0,2004,4356,1115,1079,6266,58784,65050,0,0.106593631,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,138,18,4.019823789,99.361803,1.401012,57.52127175,1
17,ALA1004,1,2004,4721,1115,1127,5803,65050,70853,0,0.089208301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,138,18,3.794178794,100.995265,1.088233,61.034453,1
18,ALA1008,0,2008,2740,284,279,1618,58638,60256,0,0.027593028,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,32,1,1.470224087,111.512498,7.793461,63.41121033,1
19,ALA1008,1,2008,3105,284,281,6230,60256,66486,0,0.103392193,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,32,1,1.441011292,108.372765,2.692685,69.191979,1
20,ALA1011,0,2015,276,265,203,8880,45770,54650,0,0.194013546,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,102,16,1.915998112,80.230027,22.76535,81.232277,1
21,ALA1011,1,2015,641,265,223,9154,54650,63804,0,0.167502287,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,127.67,27,1.762768434,84.183716,50.053306,164.4333827,1
22,ALD1000,1,2017,179,96,95,384,25416,25800,0,0.015108593,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.92,3,1.255901794,102.172411,23.522452,63.649863,1
23,ALE1001,0,2011,2005,42,27,1183,25434,26617,0,0.046512542,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,150,15,0.353503185,70.795724,4.509452,31.8759766,1
24,ALE1001,1,2011,2370,42,37,-5917,26617,20700,0,-0.222301537,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,150,15,0.462906607,77.537956,6.378303,146.1000452,1
25,ALL1014,0,2010,2103,301,288,2908,57888,60796,0,0.050234936,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,8,1.537313433,105.639108,10.312406,103.7363313,1
26,ALL1014,1,2010,2468,301,290,4870,60796,65666,0,0.080103954,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,8,1.488265598,101.237194,15.285818,112.7002112,1
